fpLILEEflg,AHCIncomeEQ_LILEE,fpfullinc,fuelexpn,FuelCosteqFactor,EqAHCincDeciles_LILEE,elecmop,gasmop,aagph2021_x,FPGAP_LILEE,fpvuln,fpLILEEqdt,FPEERband,FPEERrating,DWtype,DWage,Ongas,CentralHeating,Mainfueltype,boiler_x,WallType,tenure4x_fp,Loftins,EPC,SAP12,hhcompx_x,Ageyng,Ageold,Hhsize,ethhrp2x_x,Hhsick,Unoc,emphrp3x_x,ECO_AW,FloorArea,gorehs_x,HTHG,WHDBroad,HousingCosts,fpbasinc,wathcost,spahcost,litecost,cookcost,BHCflg10,AHCflg10,FullincDeciles,aagpd2021,aagph2021_y,tenure8x,tenure4x,tenure2x,vacantx,gorehs_y,region3x,govreg1,hhcompx_y,hhcomp1,hhtype11,hhtype7,hhtype6,hhsizex,ndepchild,noUnits1,sft,agehrp2x,agehrp4x,agehrp6x,agepart6x,ager,pyngbx,ageoldbx,emphrpx,emphrp3x_y,nssech9,nssecp9,hhempx,empprtx,empprt3x,workless,atspahrp,atspaprt,atspaany,ethhrp2x_y,ethprt2x,sexhrp,freeLeas,owntype,hatentp3,srtentype2,bedstdx,nbedsx,bedrqx,lharqx,lhastdx,nrooms1a,sharer,accomhh1,lenresb,lenownb,ftbuyer,prevten,tenex,tenure2,tenure4,hhltsick,hhwhch,mortwkx,rentwkx,rentExS,hhincx,hhinc5x,amthbenx,housbenx,hhbensx,JOINTINCx,ALLincx,HYEARGRx,hhvulx,market_rent,equityr,equityr5,BHCinceq,BHCinceqv5,BHCinceqv60h,AHCinceq,AHCinceqv5,AHCinceqv60h,dampalfm,dhhhsrsym,dhomeszm,dhcostzm,dwtypenx,dwtype8x,dwtype3x,housex,dwage7x,dwage6x,dwage5x,dwage4x,alltypex,floorx,floor5x,floory,floor5y,storeyx,dblglaz2,dblglaz4,parking,neivisx,lv1upkpx,lv2trafx,lv3utilx,lvnumx,lvanyx,attic,heat4x,heat7x,sysage,fuelx,watersys,boiler_y,mainsgas,watercyl,loftinsx,loftins4,loftins6,loftinsu,loftu4,wallinsz,wallcavy,pcavwallx,wins95x,sap12,sap412,rdsap09,EPceeb12e,EPceir12e,EPceib12e,Equivalised fuel costs,Equivalised AHC income,household_income_threshold,fpLIHCflg
0,18075,18075,1570,1,3,1,88,2451,0,1,4,2,63,2,9,0,2,2,-9,2,1,3,2,63,2,7,6,2,1,2,0,3,3,2,10,0,0,0,19587,191,699,601,79,0,0,3,2437,2451,1,1,1,1,10,3,4,2,1,1,1,1,2,0,1,0,2,4,6,6,6,7,6,3,3,5,4,3,3,3,-9,1,1,1,1,1,1,1,1,-9,-9,4,2,1,1,4,4,2,3,6,6,2,9,2,1,1,2,0,0.0,-9.0,-9.0,19387.0,2,-9.0,-9,2,19387.0,19387.0,19387.0,2,-9,180000.0,4,347.6153846153846,1,1,347.6153846153846,2,0,0,0,0,-9.0,2,1,1,1,6,6,5,4,10,50.56,2,54.82,2,2,2,4,3,1,0,0,0,0,0,2,2,2,3,4,3,-9,0,1,250,4,6,250,4,2,1,1,3,62.59,3,66.75,4,41.71,5,1570.0,18075,17625.699999999997,0
0,44947,44947,1643,1,9,1,1,872,0,1,4,3,51,4,4,1,1,1,1,2,1,3,3,51,2,6,5,2,1,2,1,3,3,5,2,0,0,0,47410,180,734,684,44,0,0,8,868,872,1,1,1,1,2,1,1,2,1,1,1,1,2,0,1,0,2,4,6,6,5,6,5,3,3,1,3,3,3,3,-9,1,1,1,1,1,1,1,1,-9,-9,5,3,1,1,5,7,2,1,8,8,2,9,2,1,1,2,0,0.0,-9.0,-9.0,47209.9999,4,-9.0,-9,2,52512.5,52512.5,52512.5,2,-9,350000.0,5,864.0769211538462,4,0,864.0769211538462,5,0,0,0,0,-9.0,4,4,1,1,2,2,2,2,6,115.33,5,121.88,5,2,2,4,3,1,0,0,0,0,0,2,1,1,3,1,1,1,1,1,150,4,5,150,4,2,1,1,3,50.59,3,50.74,5,41.399,5,1643.0,44947,17698.699999999997,0
0,26421,19404,516,1,5,1,1,3156,0,1,3,1,83,5,8,1,1,1,5,1,4,2,1,75,7,7,6,1,1,1,0,3,2,1,9,0,1,4080,15324,84,202,192,38,0,0,3,3142,3156,4,4,2,1,9,2,4,7,7,11,6,6,1,0,1,0,2,4,6,-9,6,7,6,3,3,6,0,3,-9,-9,-9,1,-9,1,1,-9,2,-9,-9,1,5,3,1,1,1,3,3,2,4,5,-9,3,9,5,4,2,1,0,-9.0,78.46153846153847,78.46153846153847,16629.0,2,78.46153846153847,1,1,16629.0,20709.0,16629.0,1,2,-99999999.0,-9,603.0137772675085,3,0,561.3063660477454,3,0,0,0,0,-9.0,7,7,2,2,5,5,5,4,2,40.23,1,41.4,1,2,2,4,2,1,1,0,0,1,1,2,1,1,1,1,1,5,1,0,100,3,4,100,3,1,1,1,1,75.42,4,75.41,3,78.527,3,516.0,26421,16571.699999999997,0
0,23536,20371,1193,1,5,3,3,2482,0,0,4,2,65,3,5,1,1,1,5,1,1,3,2,65,6,5,4,1,1,2,1,1,3,5,4,1,0,6720,21518,85,605,464,40,0,0,4,2479,2482,1,1,1,1,4,1,1,6,7,11,6,5,1,0,1,1,1,3,5,-9,4,5,4,1,1,4,0,1,-9,-9,0,0,-9,0,1,-9,2,1,1,-9,-9,5,4,1,1,5,8,2,2,6,8,2,9,1,2,1,2,0,129.2307692307692,-9.0,-9.0,21518.2,2,-9.0,-9,2,24203.0,24203.0,24203.0,2,-9,97000.0,3,584.951205510907,3,0,452.907824933687,3,0,0,0,0,-9.0,3,3,1,1,3,3,3,3,9,109.77,4,118.54,5,3,2,4,4,1,0,0,0,0,0,1,1,1,2,1,1,5,1,0,125,3,4,-8,-8,1,1,1,1,64.97,3,55.11,4,57.743,4,1193.0,23536,17248.699999999997,0
0,19843,11509,1674,1,4,1,88,2928,0,1,4,2,58,2,2,0,2,2,-9,3,1,3,2,58,7,7,6,1,1,1,0,3,3,2,1,0,1,0,12638,194,1036,379,65,1,1,1,2924,2928,1,1,1,1,1,1,1,7,7,11,6,6,1,0,1,0,2,4,6,-9,6,8,7,3,3,3,0,3,-9,-9,-9,1,-9,1,1,-9,2,1,1,-9,-9,5,3,1,1,5,5,2,3,8,8,1,9,2,1,1,1,0,0.0,-9.0,-9.0,12337.5,1,-9.0,-9,2,12337.5,12337.5,12337.5,2,-9,100000.0,3,329.49196326062,1,1,380.620026525199,2,0,0,0,0,-9.0,5,5,1,1,1,1,1,1,4,53.03,2,55.15,2,1,2,4,2,1,0,0,0,0,0,2,2,2,3,4,3,-9,0,1,250,4,6,250,4,3,2,4,4,57.53,3,62.07,4,39.601,5,1674.0,19843,17729.699999999997,0
0,27402,22193,689,1,6,1,1,1435,0,0,3,1,81,5,9,1,1,1,5,1,2,1,1,81,6,5,4,1,1,2,0,1,3,2,4,0,0,6300,23143,34,182,437,37,0,0,4,1363,1435,2,2,1,1,4,1,1,6,7,11,6,5,1,0,1,0,1,3,5,-9,4,5,4,2,1,6,0,2,-9,-9,0,0,-9,0,1,-9,2,-9,-9,-9,-9,4,2,1,1,4,4,2,4,3,-9,3,7,3,6,3,2,0,-9.0,121.1538461538462,121.1538461538462,23142.8,2,0.0,2,2,25085.0,25085.0,25085.0,2,3,-99999999.0,-9,637.0063145809414,3,0,526.9661803713528,3,0,0,0,0,-9.0,7,7,2,2,7,6,5,4,2,57.39,2,58.9,2,4,2,4,4,1,0,0,0,0,0,2,1,1,3,1,1,5,1,0,-9,-9,-9,-9,-9,1,1,1,2,80.63,4,81.64,2,84.225,2,689.0,27402,16744.699999999997,0
0,23408,46158,967,1,5,1,1,1358,0,0,3,1,81,4,9,1,1,1,5,1,1,3,1,81,1,5,2,2,1,2,1,1,3,5,7,0,0,22750,48406,74,268,582,44,0,0,8,1355,1358,1,1,1,1,7,3,4,1,1,1,1,1,2,0,1,2,1,1,2,2,2,5,2,1,1,2,6,1,1,1,0,0,0,0,1,1,1,1,1,-9,-9,5,4,1,1,5,6,2,1,3,3,2,3,1,2,1,2,0,437.5,-9.0,-9.0,48405.5,4,-9.0,-9,2,60037.5,60037.5,60037.5,2,-9,130000.0,4,887.4519230769231,4,0,449.9519230769231,3,0,0,0,0,-9.0,4,4,1,1,7,6,5,4,6,109.96,4,116.52,5,2,2,4,3,1,0,0,0,0,0,2,1,1,1,1,1,5,1,0,300,4,6,300,4,1,1,1,2,81.22,4,79.98,2,80.819,2,967.0,23408,17022.699999999997,0
0,14463,14463,1055,1,3,1,1,893,0,1,2,1,75,4,6,1,1,1,5,1,1,3,1,71,2,6,5,2,2,1,1,3,1,5,2,1,1,0,16291,46,437,527,44,0,0,2,889,893,1,1,1,1,2,1,1,2,1,1,1,1,2,0,1,0,2,4,6,6,5,6,5,3,3,1,6,3,3,3,-9,1,1,1,2,1,1,2,2,-9,-9,5,3,1,1,5,5,2,1,6,6,2,9,2,1,1,1,0,0.0,-9.0,-9.0,13790.0,1,-9.0,-9,1,13790.0,13790.0,13790.0,1,-9,339941.0,5,234.0961538461538,1,1,234.0961538461538,1,1,0,0,0,-9.0,4,4,1,1,4,4,4,4,6,104.11,4,110.16,5,2,2,4,4,1,0,0,0,0,0,2,1,1,1,1,1,5,1,0,150,4,5,150,4,1,1,1,1,70.62,4,71.57,3,66.368,4,1055.0,14463,17110.699999999997,0
0,20799,29534,2298,1,4,1,1,1337,0,1,4,2,62,4,9,0,1,2,-9,1,1,3,2,62,2,4,5,3,1,2,1,1,3,5,7,0,0,0,31860,337,1184,703,74,0,0,6,1334,1337,1,1,1,1,7,3,4,2,1,4,1,1,3,0,1,1,2,4,6,6,5,4,5,2,1,4,4,2,2,1,0,1,1,1,1,1,1,1,1,-9,-9,5,4,2,2,5,8,2,1,7,7,2,9,2,1,1,2,0,0.0,-9.0,-9.0,21368.0,2,-9.0,-9,2,22620.0,22620.0,33020.0,2,-9,550000.0,5,427.1833429728167,2,0,400.1083423618635,2,0,0,0,0,-9.0,4,4,1,1,6,6,5,4,6,194.1,5,200.81,5,2,2,4,3,1,0,0,0,0,0,2,1,1,2,4,1,-9,0,1,300,4,6,300,4,1,1,1,2,61.63,3,63.4,4,61.277,4,2298.0,20799,18353.699999999997,0
0,9141,9141,992,1,1,1,1,5156,0,1,2,1,73,2,2,1,1,1,5,4,1,3,2,68,5,5,6,2,2,2,0,3,1,3,8,1,1,0,10675,104,455,388,44,1,1,1,5095,5156,1,1,1,1,8,2,3,5,5,9,4,4,2,0,2,0,2,4,6,-9,6,5,6,3,3,7,0,3,-9,-9,1,1,-9,1,2,-9,2,1,1,-9,-9,4,3,2,2,4,5,2,3,7,7,2,9,2,1,1,2,0,0.0,-9.0,-9.0,10475.0,1,-9.0,-9,2,10475.0,10475.0,10475.0,2,-9,440000.0,5,175.1923076923077,1,1,175.1923076923077,1,1,0,0,0,-9.0,2,2,1,1,1,1,1,1,7,78.13,3,82.64,3,2,2,4,5,1,0,0,0,0,0,2,1,1,2,1,1,5,1,0,250,4,6,250,4,4,2,6,4,67.98,3,68.29,4,64.395,4,992.0,9141,17047.699999999997,0
