model,condition,severity,n_repeats,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,balanced_accuracy_mean,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,precision_mean,precision_ci_lower,precision_ci_upper,recall_mean,recall_ci_lower,recall_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,global_spearman_mean,global_spearman_ci_lower,global_spearman_ci_upper,global_kendall_mean,global_kendall_ci_lower,global_kendall_ci_upper,jaccard_top_k_mean,jaccard_top_k_ci_lower,jaccard_top_k_ci_upper,instance_cosine_mean_mean,instance_cosine_mean_ci_lower,instance_cosine_mean_ci_upper,instance_rank_corr_mean_mean,instance_rank_corr_mean_ci_lower,instance_rank_corr_mean_ci_upper
RandomForest,Corruption,0.05,50,0.9089595157018537,0.9086643965191071,0.9092622020431328,0.7429709179369948,0.7423102807965479,0.7436369583022627,0.733364555310697,0.731219726586728,0.7355176973032109,0.5153072625698324,0.5139664804469274,0.5166480446927374,0.6052677001310198,0.6041237917898971,0.6064573442344425,0.9279652702223636,0.9274997909612116,0.928410408542474,0.9970827067669172,0.9964812030075189,0.997624060150376,0.982315789473684,0.979157894736842,0.9850578947368421,0.9266666666666665,0.8866666666666666,0.9666666666666666,0.9923299862176858,0.9911936522144128,0.9934899415435824,0.9883708270676691,0.9873030601503758,0.9894127819548872
RandomForest,Corruption,0.1,50,0.9083844116534242,0.9080060537268255,0.9087779038970867,0.7423556348789165,0.7414169058591983,0.7433273629940221,0.7293774761213796,0.7271315165531289,0.7317257636324668,0.5146368715083799,0.5127374301675978,0.516536312849162,0.6034398630667663,0.6017333147521646,0.6051786098618858,0.924918462648069,0.9243458503966849,0.9254880722589636,0.9960601503759398,0.9953383458646617,0.9967518796992482,0.9764210526315789,0.9726315789473684,0.9802105263157894,0.8866666666666666,0.8466666666666666,0.9266666666666667,0.9832558829485278,0.9817190090418915,0.9847684031164309,0.9756234586466164,0.9739516390977443,0.9771957969924814
RandomForest,Corruption,0.2,50,0.9064018161180476,0.9057510404842982,0.9070300794551646,0.7378639903182035,0.7362423566372871,0.7393946074716086,0.7194791393138351,0.7156547138256768,0.7232544592607131,0.5067039106145251,0.5034064245810056,0.5097206703910614,0.5945496922187766,0.5916974598991238,0.5974134729305195,0.9195243572974097,0.9186362162756868,0.9204724900064789,0.9938646616541353,0.9930526315789474,0.9946466165413534,0.9627368421052631,0.9589473684210525,0.9665263157894738,0.7799999999999998,0.7399999999999999,0.8266666666666665,0.9660031021207878,0.9629897842860423,0.968953827176399,0.9510526315789473,0.9485811127819549,0.9535948270676691
RandomForest,Corruption,0.3,50,0.9050397275822928,0.9042981460461597,0.9057283390087021,0.7358748578902976,0.7341204090925761,0.7374747882107012,0.7110021990485275,0.706806857504176,0.7149080860668552,0.503854748603352,0.500558659217877,0.5069287709497207,0.589701412465808,0.5864612965887099,0.5927487439606643,0.9136271774873783,0.912664636688141,0.9145694806425194,0.99196992481203,0.9907962406015036,0.9929924812030074,0.9545263157894738,0.9496842105263158,0.9587421052631581,0.7466666666666666,0.7066666666666666,0.7866666666666666,0.9544766979133407,0.9513001138136784,0.9573677267382918,0.930102857142857,0.9272498195488722,0.932943887218045
RandomForest,MCAR,0.05,50,0.9057510404842982,0.9051606129398411,0.9063187665531593,0.7260391183697421,0.724347453944232,0.727633367052553,0.7324582493474808,0.7284217689710273,0.7363774283534611,0.4795530726256983,0.476086592178771,0.48273882681564245,0.5794990605166767,0.5765993292928993,0.582318202393253,0.9196876887155727,0.9186455276701344,0.9207433657689813,0.9897443609022557,0.988630827067669,0.9908872180451127,0.9498947368421053,0.9456842105263159,0.9541052631578948,0.98,0.9599999999999999,1.0,0.9578445580651167,0.9534650744716142,0.9620104041847262,0.9459296240601505,0.9432913684210524,0.9485672706766917
RandomForest,MCAR,0.1,50,0.9015437003405221,0.9006432084752177,0.9024441922058267,0.7072104690537023,0.7047703705854308,0.7094313964646775,0.7248038078061046,0.718925532137919,0.7308598914165677,0.4406703910614526,0.4359203910614525,0.44508379888268146,0.5479427815300866,0.5431159660187196,0.5523037516856101,0.9082699167512195,0.9066087169785948,0.9099730025182451,0.9839999999999999,0.9825563909774436,0.985324060150376,0.9303157894736843,0.925678947368421,0.9349473684210526,0.9666666666666666,0.9399999999999998,0.9933333333333333,0.9201002757902443,0.9148196300473083,0.9253822417693365,0.8955007518796991,0.8915333082706767,0.8992063609022557
RandomForest,MCAR,0.2,50,0.8939841089670828,0.8929320847521756,0.8949831630722663,0.6714846521521214,0.6684578548463993,0.6744372654425876,0.7111247054218052,0.7039683851310337,0.7180760052587132,0.3663128491620112,0.36027932960893855,0.3720111731843575,0.48323811744720485,0.47720313461598685,0.4892973985874707,0.8834887351319634,0.8812533495104091,0.8856619445497109,0.9712781954887216,0.9689323308270674,0.9736240601503758,0.8947368421052633,0.8892631578947369,0.9004210526315789,0.9466666666666665,0.9131666666666668,0.98,0.8442277421140719,0.836599498525395,0.8512220580198754,0.8013813533834586,0.796364045112782,0.8058008045112781
RandomForest,MCAR,0.3,50,0.8862731744230042,0.885281876655316,0.8873098751418841,0.6348232705402003,0.6319312448809945,0.6377796446951823,0.6911778643550135,0.6830077302844836,0.6996016635201245,0.28994413407821223,0.28435754189944135,0.29564245810055867,0.4082549586660391,0.4015862615035931,0.41501143238352933,0.8551459604170998,0.852483082833148,0.8575747695683532,0.9494135338345864,0.9463157894736842,0.9523909774436089,0.8469473684210526,0.8408421052631578,0.8526315789473685,0.9,0.8533333333333333,0.9466666666666665,0.7728499257041777,0.765107656957649,0.7801483129610636,0.7146421052631579,0.7096976992481203,0.7190345789473682
RandomForest,MNAR,0.05,50,0.9070147559591374,0.9066969353007945,0.9073325766174801,0.7369228634646652,0.7361591472806621,0.7377460484334314,0.7260458578143839,0.7238850019269999,0.7281913430492071,0.5036312849162012,0.5020111731843575,0.5053072625698324,0.5946884699132293,0.5933806748922233,0.5960566061888677,0.9233938119628867,0.9226020833588011,0.9241232066672371,0.9979849624060151,0.997624060150376,0.9983458646616541,0.9863157894736841,0.9840000000000001,0.9886315789473683,1.0,1.0,1.0,0.9794442283300914,0.9761036621197958,0.9828918624009879,0.9911572932330828,0.9897436842105264,0.9926401954887216
RandomForest,MNAR,0.1,50,0.9065001891789631,0.9061445327279607,0.9068558456299658,0.7347642995978143,0.7339141153136192,0.7356761130398639,0.7249307975779147,0.7226061934636205,0.7272282720074,0.499217877094972,0.49743016759776537,0.5011173184357542,0.591230356225939,0.5897014716348367,0.5928335624206971,0.9216255149566641,0.9208476244758748,0.9224111499578255,0.9975338345864663,0.997172932330827,0.9978947368421052,0.9833684210526318,0.9812631578947368,0.9854736842105264,0.9933333333333334,0.98,1.0,0.9732381742367021,0.9690253188703658,0.977409634614513,0.9886484210526316,0.9870675939849624,0.990330947368421
RandomForest,MNAR,0.2,50,0.9052516080211881,0.9048202799848657,0.9056829360575103,0.7300140214906543,0.7289279274598731,0.7312367862425583,0.7214089078251601,0.7187145312734585,0.7238316742575132,0.4896648044692738,0.48754189944134074,0.4921229050279329,0.5833225193324033,0.5813487670622599,0.5854785837679811,0.9175421806046233,0.9166643436059801,0.9184410091928169,0.9969022556390977,0.9965413533834585,0.9972338345864664,0.9791578947368421,0.977257894736842,0.9810578947368422,0.9933333333333334,0.98,1.0,0.9642454988669107,0.9600890223632889,0.968542164249304,0.9847278195488721,0.9831927443609021,0.9863887894736842
RandomForest,MNAR,0.3,50,0.9039803253878169,0.9035792659856225,0.9043813847900114,0.7255804065865554,0.724696886116646,0.7265504342750266,0.7171147245067979,0.7144862681529308,0.7195754353989627,0.48089385474860336,0.47916201117318435,0.4828491620111731,0.5756800415778188,0.5740158593292664,0.577485720981186,0.9130678092490495,0.912116261934159,0.9140275628644426,0.9964812030075187,0.9961804511278194,0.996781954887218,0.9757894736842105,0.9738947368421053,0.9776842105263158,1.0,1.0,1.0,0.9492876357881757,0.9453313168990501,0.9531950408698923,0.9781151879699247,0.9765235563909774,0.9796674812030076
RandomForest,Noise,0.05,50,0.9082255013242526,0.9078547105561863,0.9086189935679152,0.7418868256665404,0.7408684632592937,0.7429440530909626,0.7287453387007312,0.7265575484281377,0.7309889133913049,0.5137430167597765,0.5116745810055866,0.5158659217877095,0.6026050711015156,0.6008427686146577,0.6044594930157844,0.9299678251408872,0.9297136287788956,0.9302148710927473,0.9970827067669172,0.9966616541353384,0.9974436090225565,0.9810526315789474,0.9789473684210528,0.9829473684210527,1.0,1.0,1.0,0.9956248641837443,0.9952061835884538,0.9959912938021795,0.9932201503759397,0.9927166842105262,0.9936827443609023
