condition,severity,xgb_mean,rf_mean,mean_diff_xgb_minus_rf,ci_lower,ci_upper,difference_significant
Corruption,0.05,0.9873966972909867,0.9923299862176858,-0.0049332889266990865,-0.00713858526431095,-0.002837407802317541,True
Corruption,0.1,0.9739368142441848,0.9832558829485278,-0.00931906870434307,-0.012133336874775096,-0.006570665855851843,True
Corruption,0.2,0.9483528632305098,0.9660031021207878,-0.017650238890277947,-0.02298556528302796,-0.012387791582571313,True
Corruption,0.3,0.9267155311636627,0.9544766979133407,-0.02776116674967799,-0.03304534018644801,-0.022380699391899135,True
MCAR,0.05,0.9608443402862177,0.9578445580651167,0.0029997822211009773,-0.0033143754625865863,0.00899150484559907,False
MCAR,0.1,0.9240387228570879,0.9201002757902443,0.003938447066843542,-0.003911486298924049,0.011521357126945188,False
MCAR,0.2,0.8479109359153546,0.8442277421140719,0.0036831938012826804,-0.0066434467735981065,0.013777710092543112,False
MCAR,0.3,0.7705315267258875,0.7728499257041777,-0.002318398978290115,-0.013109112113709359,0.008214711013105615,False
MNAR,0.05,0.9766353548766579,0.9794442283300914,-0.0028088734534335025,-0.007898163579122227,0.002509470860971857,False
MNAR,0.1,0.9699514282078947,0.9732381742367021,-0.003286746028807408,-0.009877555649673849,0.0033058350938286693,False
MNAR,0.2,0.9598905170218553,0.9642454988669107,-0.004354981845055339,-0.011039150860170608,0.0020676500556061263,False
MNAR,0.3,0.9428692776919809,0.9492876357881757,-0.006418358096194732,-0.0124468991020318,-0.0003831385473839116,True
Noise,0.05,0.9809453304052353,0.9956248641837443,-0.014679533778508946,-0.015481115119167888,-0.013849351556985119,True
Noise,0.1,0.9740996827840805,0.9872222370276589,-0.013122554243578333,-0.014525277886366974,-0.011611157083885862,True
Noise,0.2,0.95128638424417,0.9601703889217739,-0.008884004677603863,-0.011713473756230138,-0.0057224886847545104,True
Noise,0.3,0.9194452239391394,0.9239982186697097,-0.004552994730570248,-0.00963053350147961,0.0007370573892513208,False
